Województwo i rok;Produkt_Krajowy_Brutto_na_mieszkañca_(z³);Stopa_bezrobocia_rejestrowanego_(%);Przeciêtne_miesiêczne_wynagrodzenie_brutto_(czwarty_kwarta³)_(z³);Liczba_ludnoœci_w_wieku_produkcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_przedprodukcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_poprodukcyjnym_na_1000_ludnoœci;Gêstoœæ_zaludnienia_(osoba/km^2);Przyrost_naturalny_na_1000_ludnoœci;Liczba_urodzeñ_na_1000_ludnoœci;Przeciêtne_trwanie_¿ycia_(lata);Liczba_ma³¿eñstw_na_1000_ludnoœci;Zezwolenia_na_pracê_dla_cudzoziemców_na_1000_ludnoœci;Liczba_studentów_na_10000_ludnoœci;Mieszkania_oddane_do_u¿ytkowania_na_1000_ludnoœci;Saldo_migracji_wewnêtrznych
Dolnoœl¹skie_2010;42295;13,1;3655,84;656,87;173,89;169,23;146,3;-0,06;10,13;76;5,6;0,59;577;4,4;1579
Dolnoœl¹skie_2011;46296;12,4;3830,15;652,58;171,95;175,47;146,2;-0,6;9,49;76;5,2;0,73;549;3,6;1559
Dolnoœl¹skie_2012;47986;13,5;3879,12;647,51;170,09;182,39;146,1;-1,1;9,34;76;5,2;0,67;532;5,2;1735
Dolnoœl¹skie_2013;48179;13,1;4081,9;641,68;168,58;189,74;145,9;-1,61;8,86;77;4,4;0,67;487;5,7;2391
Dolnoœl¹skie_2014;50031;10,4;4265,88;634,96;167,93;197,11;145,8;-0,94;9,34;77;4,7;0,69;470;4,8;2426
Dolnoœl¹skie_2015;52203;8,5;4417,13;627,88;167,53;204,59;145,6;-1,82;9,04;77;4,5;1,17;457;4,8;2652
Dolnoœl¹skie_2016;53613;7,2;4616,23;620,01;167,93;212,07;145,6;-1,07;9,45;77;4,8;3,75;449;5,7;2659
Dolnoœl¹skie_2017;57203;5,7;4974,36;611,89;169,03;219,08;145,5;-1,25;9,79;77;4,8;4,23;428;5,9;2595
Dolnoœl¹skie_2018;60447;5,2;5245,92;604,31;170,13;225,56;145,4;-1,79;9,58;77;4,9;6,6;415;6,4;3200
Dolnoœl¹skie_2019;65240;4,6;5670,27;597,61;171,05;231,34;145,4;-2;9,28;77;4,8;8,24;405;7,6;4215
Dolnoœl¹skie_2020;67148;5,6;6039,18;596,23;171,65;232,13;145,8;-4,07;8,82;76;3,7;7,59;403;7,5;3295
Dolnoœl¹skie_2021;76186;4,9;6752,15;591,65;173,19;235,16;145,3;-5,49;8,42;75;4,4;15,38;402;8,6;3305
Dolnoœl¹skie_2022;90980;4,5;7386,84;587,78;173,57;238,65;144,8;-4,62;7,86;77;4,3;9,46;398;7,7;3695
Dolnoœl¹skie_2023;96826;4,4;8138,28;584,79;172,33;242,88;144,3;-4,4;6,77;78;4,1;5,39;402;6,9;3617
Dolnoœl¹skie_2024;103643;4,6;9171,27;583,43;170,03;246,54;143,8;-4,96;6,33;78;3,8;5,62;436;5,8;3579
Kujawsko-pomorskie_2010;31127;17;3084,37;646,56;193,81;159,63;116,8;1,02;10,77;76;5,9;0,33;403;2,8;-1443
Kujawsko-pomorskie_2011;33231;17;3253,73;644,05;190,43;165,52;116,8;0,62;10;76;5,4;0,26;390;3,1;-1321
Kujawsko-pomorskie_2012;34365;18,1;3328,95;641,09;187,63;171,28;116,7;0,16;9,9;77;5,3;0,3;366;3;-1528
Kujawsko-pomorskie_2013;35280;18,2;3513,83;637,1;185,39;177,52;116,4;-0,3;9,48;77;4,7;0,3;332;3,2;-1619
Kujawsko-pomorskie_2014;36379;15,5;3588,51;632,52;183,34;184,14;116,3;0;9,58;77;4,9;0,64;312;3;-1738
Kujawsko-pomorskie_2015;38190;13,2;3724,98;627,5;181,59;190,92;116,1;-0,64;9,19;77;5;1,6;297;3,2;-1749
Kujawsko-pomorskie_2016;39541;12;3848,58;621,8;180,66;197,54;116;-0,33;9,52;78;5;2,4;285;3;-1719
Kujawsko-pomorskie_2017;41909;9,9;4159,8;615,43;180,62;203,95;115,9;-0,17;10,03;78;4,9;3,12;285;3,7;-1515
Kujawsko-pomorskie_2018;44694;8,8;4417,46;609,43;180,47;210,1;115,6;-1,33;9,55;77;5;12,36;272;3,4;-2541
Kujawsko-pomorskie_2019;47457;7,9;4791,63;603,76;180,18;216,06;115,3;-1,33;9,32;77;4,6;18,32;261;3,9;-2921
Kujawsko-pomorskie_2020;49439;9;5092,22;593,65;183,67;222,68;113;-3,65;8,83;76;3,8;14,38;267;4,8;-2112
Kujawsko-pomorskie_2021;56406;8,1;5696;589,85;183,86;226,29;112,3;-5,71;8,26;75;4,2;14,92;268;4,8;-2204
Kujawsko-pomorskie_2022;66547;7,3;6277,85;586,06;182,87;231,07;111,7;-4,54;7,49;77;4;10,39;279;5,7;-1746
Kujawsko-pomorskie_2023;72672;7,1;7187,2;582,8;180,79;236,41;111,1;-4,4;6,76;78;3,8;5,13;283;5,5;-2116
Kujawsko-pomorskie_2024;78539;7,3;8047,96;581,06;177,59;241,35;110,4;-4,94;6,08;78;3,5;4,99;286;4;-1989
Lubelskie_2010;25875;13,1;3321,69;632,3;192,38;175,32;86,7;-0,18;10,38;76;6,1;0,28;466;2,6;-4867
Lubelskie_2011;28279;13,2;3450,6;631,8;188,88;179,32;86,5;-0,74;9,82;76;5,6;0,39;443;2,9;-4960
Lubelskie_2012;29639;14,2;3547,3;630,09;185,85;184,05;86,2;-0,62;9,78;77;5,4;0,49;430;3,3;-5018
Lubelskie_2013;30434;14,4;3673,52;627,26;183,32;189,42;85,8;-1,44;9,14;77;4,8;0,61;398;3,2;-4954
Lubelskie_2014;31170;12,6;3781,29;624,2;180,94;194,87;85,5;-1,06;9,21;78;5,1;0,64;382;2,6;-5125
Lubelskie_2015;32074;11,7;3854,46;620,65;178,86;200,49;85,2;-1,45;9,2;78;5;0,75;366;2,9;-4814
Lubelskie_2016;33349;10,3;4029,46;616,28;177,43;206,29;84,9;-1,23;9,21;78;5;1,3;350;3,3;-4452
Lubelskie_2017;35642;8,8;4278,43;610,95;176,92;212,12;84,6;-1,19;9,81;78;5;2,47;341;3,5;-5072
Lubelskie_2018;37100;8;4555,26;605,76;176,38;217,86;84,3;-1,69;9,47;78;5;3,8;330;3,5;-5804
Lubelskie_2019;40741;7,5;4801,72;600,7;175,8;223,49;83,9;-1,77;9,13;78;4,7;6,16;325;3,5;-6495
Lubelskie_2020;41315;8,2;5165,64;587,57;181,5;230,93;81,9;-4,46;8,73;77;3,8;7,63;334;4,1;-4685
Lubelskie_2021;47464;8,7;5691,02;584,72;181,33;233,95;81,1;-6,82;8,12;75;4,4;13,43;330;4,4;-5021
Lubelskie_2022;55182;8;6286,95;581,09;180,24;238,66;80,6;-4,78;7,49;77;3,9;9,69;327;5,1;-4686
Lubelskie_2023;62175;7,6;7218,96;578,27;177,79;243,95;80;-4,67;6,69;79;3,6;3,26;325;4,5;-4707
Lubelskie_2024;68770;7,4;8202,78;575,9;174,81;249,29;79,5;-4,91;6,27;79;3,3;2,71;337;4,8;-5194
Lubuskie_2010;31723;15,5;3131,01;657,51;191,26;151,22;73,2;1,42;10,69;76;5,8;1,77;258;3,2;-474
Lubuskie_2011;33738;15,4;3267,41;654;188,52;157,48;73,1;0,76;10,19;76;5,1;1,46;233;3,2;-665
Lubuskie_2012;35078;15,9;3386,49;649,22;186,28;164,49;73,2;0,74;10,13;76;5,3;1,16;208;3,1;-441
Lubuskie_2013;35786;15,7;3433,77;643,63;184,39;171,98;73;-0,3;9,53;76;4,6;1,3;186;3,1;-743
Lubuskie_2014;37635;12,5;3580,76;637,59;182,77;179,64;72,9;0,16;9,52;77;4,8;1,62;176;3,3;-660
Lubuskie_2015;39052;10,5;3718,2;631,23;181,25;187,52;72,8;-0,72;9,24;77;4,9;2,62;162;3,2;-893
Lubuskie_2016;40610;8,6;3962,52;624,29;180,5;195,2;72,7;-0,22;9,57;77;5;3,52;147;3,5;-740
Lubuskie_2017;42793;6,5;4177,14;616,79;180,65;202,56;72,7;0,01;10,13;77;4,9;7,33;139;3,9;-788
Lubuskie_2018;45317;5,8;4548,38;609,73;180,69;209,58;72,5;-1,49;9,32;77;4,9;10,59;131;4,2;-971
Lubuskie_2019;48440;4,9;4825,6;603,18;180,71;216,11;72,3;-2,01;8,92;77;4,5;16,21;125;4,1;-1245
Lubuskie_2020;49394;6,3;5112,52;594,06;183,2;222,74;71;-4,01;8,67;76;3,5;13,92;126;5,2;-842
Lubuskie_2021;56196;5,1;5632,5;589,52;183,42;227,06;70,5;-5,97;8,01;75;4,1;14,14;125;5,1;-1068
Lubuskie_2022;66313;4,4;6420,03;585,63;182,06;232,31;70,1;-4,65;7,22;76;4;13,69;121;6;-861
